Consumer_number,Consumer_type
QPAI08658003576169,industrial
CSKC19500104342907,industrial
EDOD07461150815386,low income families
WNRI10608342882432,industrial
NTMT09595415161699,low income families
UCOU65888903574985,industrial
GFAZ16657492819450,low income families
BTRA97125362656993,low income families
DLEW66076045020818,industrial
YUQP73553481477591,low income families
JCCH45150255813989,industrial
DVNY35143645140029,industrial
IFNG84495482596644,industrial
FUVK81913549523474,industrial
KOCS31815362992210,industrial
FCGQ19814303536339,low income families
EQKL85694875580467,industrial
TRWL67442270835282,industrial
NFMC42616650055728,industrial
JDVW57666669484928,low income families
LHEI47595523159786,industrial
LLIC24181538486678,low income families
HSSV92876412514992,low income families
WJLY65217605299802,industrial
IVXM36178913942788,low income families
GMAH74894134130515,industrial
EBVU90010372787021,low income families
MCUA36598386618228,industrial
DWLO25953900969722,low income families
JYBT89780750132404,industrial
ZMUD27592238141769,industrial
QVSK49209769731009,low income families
NYCR15027250729265,low income families
CEZM82527801889609,low income families
DZFQ84953412069335,low income families
NVMA56908319529535,low income families
TZUJ69246246430307,industrial
EYCL28119180396222,industrial
MTTO08254040481312,low income families
OEUA01021948001923,low income families
GGQC71175062678571,industrial
FCDD43252829144359,industrial
PTGP50399908823421,industrial
MIDT99995692797081,industrial
JEDB74748652800427,industrial
FMZB01986300050037,industrial
PUZZ07640259685759,industrial
UWKE06377259555130,low income families
TFNU84099184624322,industrial
AHRA93701497494813,industrial
RDDF15224798079356,industrial
TGQX37728861690509,industrial
ZPYP16337102153664,industrial
EHCJ02706135202063,industrial
LDVG07028476247747,industrial
QSNR47638755805515,industrial
HXOV80552734877557,industrial
COWH94393019622935,industrial
PJBG81551254030092,industrial
XYNW70803382753712,industrial
OPWS81181980904324,industrial
APIX23025239230384,industrial
NGXL37418609394497,industrial
XQWY83246515643622,industrial
BENG66184610421490,industrial
USCV77286769892123,industrial
KXHE28709548532082,low income families
ZDYE89402681967902,industrial
NNKF92704765416624,industrial
IDLV25802308930770,industrial
ZWAF82502428931885,industrial
FAWW57445459869229,industrial
SAWJ78394099744354,low income families
IYPF09448390075115,industrial
WGUY93961702007063,industrial
JDFB91441873190771,industrial
SNGS60110784798477,industrial
OGBF44324779029820,industrial
AZQH24086160367709,industrial
MUXX08286207117113,industrial
YCEP63387357649644,industrial
HBST63872873388066,industrial
KNTA13295301205579,industrial
JFUO85980686170984,industrial
FZRP63431054534745,industrial
IMXD19478115201071,industrial
FUKN92112193372842,industrial
AZBY61891155526602,low income families
DWOL20606574790454,industrial
NJKG79591092232566,industrial
WUWZ84672361717279,industrial
GGSK50409018679457,industrial
AQLT91571953050328,industrial
NDFS84069941627676,industrial
KPOA19937532089126,low income families
QPAI08658003576169,industrial
RKNI13745194374747,industrial
EDOD07461150815386,low income families
WNRI10608342882432,industrial
GISB05062343018672,industrial
CYPV95300994106083,industrial
WWTM07097049580271,industrial
PACU95409044828785,industrial
OTJM06567794973233,industrial
DKCY25913019460431,industrial
OYCU95964607071111,industrial
KOCS31815362992210,industrial
EQKL85694875580467,industrial
JDVW57666669484928,industrial
TQSE59784502052490,industrial
CGDO45046562545022,industrial
EBVU90010372787021,industrial
GFUL02502122553375,industrial
FFAR48543703647689,industrial
RAFU09126502665608,industrial
HLOE34772420661917,industrial
DKWR40757445081145,industrial
FUMF28996023865905,industrial
KNOB43264859830449,industrial
NYCR15027250729265,industrial
JTES98822694645015,industrial
DZFQ84953412069335,industrial
TZUJ69246246430307,industrial
DCOX56894168490254,industrial
MTTO08254040481312,industrial
SSAR38458074873537,industrial
HNRD13603113885779,industrial
CDUH34623988572920,industrial
MIDT99995692797081,industrial
JEDB74748652800427,industrial
WKRP66567640304049,industrial
YTBO45517390556943,industrial
VVPT29581996676541,industrial
OUMQ62822031339542,industrial
BSAZ08013603035624,industrial
FMWB30477528904604,industrial
LYCM06827373499892,industrial
KACC90728987099547,industrial
EHCJ02706135202063,industrial
USOI01636292173412,industrial
HIJS53113355827126,industrial
COWH94393019622935,industrial
XYNW70803382753712,industrial
MEEP39447833313343,industrial
STQF83788566178063,industrial
QHKK45321815200475,industrial
ULXZ74015705818119,industrial
APIX23025239230384,industrial
QFIZ88606191712684,low income families
LRAL82633550507688,industrial
LIZZ61547489473894,industrial
OYQY07256210497300,industrial
ZKPG43880444227846,industrial
ZPVS84874927247581,industrial
KHOY77066062304321,industrial
MHGK34685058134666,low income families
PBSW73561076867824,industrial
AZQH24086160367709,industrial
FZRQ12179825466791,industrial
MUXX08286207117113,industrial
UQMH00076570081337,industrial
NQNC82525044139361,industrial
KNTA13295301205579,industrial
MGYP11861755139081,industrial
MHKI28456945098761,industrial
RRTB85583422636622,industrial
PIRW45880935433031,industrial
AZBY61891155526602,industrial
GFFG01798583116046,industrial
TXMI93311189188143,industrial
CIRK82309217383949,industrial
KQAF05774103443738,industrial
WFZV77088054772780,industrial
NLZT35421722867668,industrial
GGSK50409018679457,industrial
AQLT91571953050328,industrial
KPOA19937532089126,industrial
AGZD07213467721118,industrial
YZTN04719365764875,industrial
MFKS41426194554322,industrial
WCHP01465080695384,industrial
FCEB55736898860978,low income families
FUJF39175092986945,industrial
WNRI10608342882432,industrial
CYPV95300994106083,industrial
SVBP81700542428379,industrial
YCFT83502606152533,industrial
UBRC28553755404484,industrial
PBBL36033403303280,industrial
DJNJ39568405803546,industrial
PACU95409044828785,industrial
VYPR76663854500957,industrial
EKZL76248245621208,industrial
CKNG88737255766732,industrial
XWCO75279794098600,industrial
JCRG87290777008626,industrial
KLFR15936867327446,industrial
IGJX95251988371066,industrial
ZMWX47693515501077,industrial
VVFJ69549881788613,industrial
UJXJ03775958628081,industrial
CGDO45046562545022,industrial
FHGT18236683233786,industrial
JAGI00680308242665,industrial
FUMF28996023865905,industrial
DWLO25953900969722,industrial
KNOB43264859830449,industrial
JYBT89780750132404,industrial
DNUT84611745346865,industrial
NZQF59857433519644,industrial
INJM43003695626381,low income families
NYCR15027250729265,industrial
CEZM82527801889609,industrial
TCES88152522045417,industrial
VOII48117914432340,industrial
NVMA56908319529535,industrial
DENA59981898513652,industrial
MTTO08254040481312,industrial
BYYN99780792499601,industrial
SSAR38458074873537,industrial
GGQC71175062678571,industrial
KSBL23156232494473,industrial
MIDT99995692797081,industrial
TNMV48252619601627,industrial
SLHW75879668705171,industrial
OUMQ62822031339542,industrial
EHCJ02706135202063,industrial
NBQN43033153874355,industrial
USOI01636292173412,industrial
HIJS53113355827126,industrial
ENRN35247370059665,industrial
JVYI66208715585159,industrial
FQTP76220352089542,industrial
DWZT19944471696987,low income families
COWH94393019622935,industrial
STQF83788566178063,industrial
FOGL66608699450492,industrial
IGUG41408649074873,industrial
KCTG02392451158535,industrial
NGXL37418609394497,industrial
FQHN32673593042325,industrial
BENG66184610421490,industrial
USCV77286769892123,industrial
ZDYE89402681967902,industrial
QFIZ88606191712684,low income families
UAYP46617844930357,low income families
LRAL82633550507688,industrial
FAWW57445459869229,industrial
PEUZ84671781592437,industrial
IMBX02784904646581,industrial
OYQY07256210497300,industrial
JDFB91441873190771,industrial
RMQI95915028213378,industrial
ZKPG43880444227846,industrial
NHFT84916099108261,industrial
ZWIV32294304461444,industrial
XONB18166453573712,industrial
FEWR46402099505959,industrial
MUXX08286207117113,industrial
YCEP63387357649644,industrial
KNTA13295301205579,industrial
XYES67726049538336,industrial
GBYA69939822152443,industrial
FZRP63431054534745,industrial
FUKN92112193372842,industrial
UJSQ95697899729285,industrial
WTMD49674567154197,industrial
LYHK83880786555886,industrial
PANP21106415508656,industrial
AZBY61891155526602,industrial
KQAF05774103443738,industrial
WFZV77088054772780,industrial
ZXWX55942012223566,industrial
GGSK50409018679457,industrial
IWUI42190103436952,industrial
AQLT91571953050328,industrial
NDFS84069941627676,industrial
YZTN04719365764875,industrial
QZDH51875901969331,industrial
RCZK44567254451440,industrial
EGKE92863689085838,industrial
FUJF39175092986945,industrial
CSKC19500104342907,industrial
FIPV92748687797450,industrial
GISB05062343018672,industrial
BTCO02703388351356,industrial
CYPV95300994106083,industrial
GCYM67310927499430,industrial
UCOU65888903574985,industrial
YCFT83502606152533,industrial
RLTR39497644977803,industrial
MUYB17619317125820,industrial
EKZL76248245621208,industrial
DVSG92636816250682,industrial
WZTK81069064792502,industrial
DMQW06422804051098,industrial
TRWL67442270835282,low income families
KOVO60968890213540,industrial
WJYX39670413648529,industrial
FAGM51511678501495,industrial
ARVA35627514832759,industrial
TQSE59784502052490,industrial
CGDO45046562545022,industrial
GFUL02502122553375,industrial
FHGT18236683233786,industrial
HLOE34772420661917,industrial
CLQG78039033709239,industrial
JUGV58574305141320,industrial
DNUT84611745346865,industrial
LDWP74408638280459,industrial
HNIX48279553082095,industrial
BRMB53233961596348,industrial
NTFW74717315660097,industrial
DCOX56894168490254,industrial
MTTO08254040481312,industrial
BYYN99780792499601,industrial
OEUA01021948001923,industrial
RZON01584888357610,industrial
MIDT99995692797081,industrial
WKRP66567640304049,industrial
CUUK70735165026551,industrial
AHRA93701497494813,industrial
FMWB30477528904604,industrial
LYCM06827373499892,industrial
TGQX37728861690509,industrial
KMJN97150743354414,industrial
MGUE22291420733853,industrial
GEXI58848523233536,industrial
HTNO96068335818471,industrial
NBQN43033153874355,industrial
YQPA52153664600964,industrial
RLHM91458526100860,industrial
ENRN35247370059665,industrial
STQF83788566178063,industrial
IGUG41408649074873,industrial
BENG66184610421490,industrial
QFIZ88606191712684,low income families
BTIF48335088055772,industrial
YEGF27791701313426,industrial
LIZZ61547489473894,industrial
ZJJJ27264470071343,industrial
IMBX02784904646581,industrial
WGUY93961702007063,industrial
ZKPG43880444227846,industrial
ZWIV32294304461444,industrial
SNGS60110784798477,industrial
FEWR46402099505959,industrial
FZRQ12179825466791,industrial
MUXX08286207117113,industrial
RCCB11656325152372,industrial
MGYP11861755139081,industrial
JFUO85980686170984,industrial
ZYDM28607258499868,low income families
RRTB85583422636622,industrial
OFSQ89007894885379,industrial
PIRW45880935433031,industrial
NLZT35421722867668,industrial
NJKG79591092232566,industrial
IWUI42190103436952,industrial
UPUN42310315523780,industrial
KPOA19937532089126,industrial
NREQ80614709086421,industrial
YZTN04719365764875,industrial
MPPA13080115709916,industrial
WCHP01465080695384,industrial
KNFG52989622599905,industrial
RKNI13745194374747,industrial
WNRI10608342882432,industrial
FIPV92748687797450,industrial
GISB05062343018672,industrial
EUEJ04437992005975,industrial
BTCO02703388351356,industrial
CYPV95300994106083,industrial
GCYM67310927499430,industrial
SVBP81700542428379,industrial
UBRC28553755404484,industrial
GFAZ16657492819450,industrial
BTRA97125362656993,industrial
MUYB17619317125820,industrial
UBRF43244118898980,industrial
XWCO75279794098600,industrial
DVNY35143645140029,industrial
LCFD28318669747029,industrial
VVFJ69549881788613,industrial
KOCS31815362992210,industrial
JDVW57666669484928,industrial
BRPR02204895745879,industrial
GMAH74894134130515,industrial
RAFU09126502665608,industrial
HLOE34772420661917,industrial
PJJC99484296189857,industrial
LDWP74408638280459,industrial
CEZM82527801889609,industrial
JTES98822694645015,industrial
VOII48117914432340,industrial
LTYA70001390203463,industrial
EYCL28119180396222,industrial
PWPE26250921629505,industrial
NTFW74717315660097,industrial
HDDT94840634914252,industrial
BYYN99780792499601,industrial
OEUA01021948001923,industrial
SSAR38458074873537,low income families
RZON01584888357610,industrial
GGQC71175062678571,industrial
KSBL23156232494473,industrial
ZKFU57599420843736,industrial
WKRP66567640304049,industrial
TFNU84099184624322,industrial
WXYF21113361348253,industrial
AHRA93701497494813,industrial
IIHP65319956540409,industrial
LYCM06827373499892,industrial
GEXI58848523233536,low income families
FCXW59945155849312,industrial
HXOV80552734877557,industrial
OPWS81181980904324,industrial
XDGD41878813463905,industrial
ULXZ74015705818119,industrial
FQHN32673593042325,industrial
USCV77286769892123,industrial
KXHE28709548532082,industrial
QFIZ88606191712684,low income families
RXJI03863392220467,industrial
NNKF92704765416624,industrial
JLRE91885534376166,industrial
SMZK19207927441166,industrial
IYPF09448390075115,industrial
WGUY93961702007063,industrial
RMQI95915028213378,industrial
ZKPG43880444227846,industrial
ZPVS84874927247581,industrial
ZWIV32294304461444,industrial
XONB18166453573712,industrial
HCQI97456176258567,industrial
FZRQ12179825466791,industrial
MUXX08286207117113,industrial
KCWE07038330915205,industrial
MGYP11861755139081,industrial
IMXD19478115201071,industrial
KIVC82184180643031,industrial
WTMD49674567154197,industrial
LYHK83880786555886,industrial
GFFG01798583116046,industrial
GUOJ42653699971382,low income families
SXEG95083431888101,industrial
UPQB00785123626543,industrial
CIRK82309217383949,industrial
NLZT35421722867668,industrial
WUWZ84672361717279,industrial
ZXWX55942012223566,industrial
IWUI42190103436952,industrial
NDFS84069941627676,industrial
UPUN42310315523780,industrial
NREQ80614709086421,industrial
QZDH51875901969331,industrial
EGKE92863689085838,industrial
CSKC19500104342907,industrial
KNFG52989622599905,industrial
RKNI13745194374747,industrial
FIPV92748687797450,industrial
HVTL73614800406347,low income families
GCYM67310927499430,low income families
MBFO36071980172730,industrial
SVBP81700542428379,industrial
BTRA97125362656993,industrial
PBBL36033403303280,industrial
NPQZ40288669056008,industrial
EOIV29302505876460,industrial
OPRG06975490466843,industrial
VXNE19652261559585,industrial
OGXA55985744605029,industrial
OTNT80443447218483,industrial
WSAQ40927607120203,low income families
UJXJ03775958628081,industrial
WJLY65217605299802,industrial
GFUL02502122553375,industrial
CLQG78039033709239,industrial
TRPQ38369235029294,industrial
XNRA02582906985247,industrial
NYCR15027250729265,low income families
LTYA70001390203463,industrial
PWPE26250921629505,industrial
ZPAS26919496825129,industrial
KYSR66911947285303,industrial
SSAR38458074873537,industrial
MIDT99995692797081,industrial
CUUK70735165026551,industrial
WUIW00818202817837,industrial
AHRA93701497494813,industrial
BSAZ08013603035624,industrial
FMWB30477528904604,industrial
KACC90728987099547,industrial
ZPYP16337102153664,industrial
GEXI58848523233536,industrial
NTKM17051501449750,industrial
YQPA52153664600964,industrial
RLHM91458526100860,industrial
HIJS53113355827126,low income families
JVYI66208715585159,industrial
STQF83788566178063,industrial
OPWS81181980904324,industrial
IGUG41408649074873,industrial
QHKK45321815200475,low income families
USCV77286769892123,industrial
CNTT86559279224757,low income families
LRAL82633550507688,industrial
FAWW57445459869229,industrial
PEUZ84671781592437,industrial
IMBX02784904646581,industrial
NHFT84916099108261,industrial
VRSG89618646640143,industrial
PBSW73561076867824,industrial
DKNF49408713640838,low income families
EACA76547460527145,industrial
UJSQ95697899729285,industrial
OFSQ89007894885379,industrial
LYHK83880786555886,low income families
AZBY61891155526602,industrial
GFFG01798583116046,industrial
RGXF59128583066455,industrial
ITPJ16307087915606,low income families
KQAF05774103443738,industrial
WFZV77088054772780,industrial
KPOA19937532089126,industrial
YZTN04719365764875,industrial
RCZK44567254451440,industrial
EGKE92863689085838,industrial
WCHP01465080695384,industrial
FUJF39175092986945,low income families
QPAI08658003576169,industrial
FIPV92748687797450,industrial
GISB05062343018672,industrial
BTRA97125362656993,industrial
PBBL36033403303280,low income families
DLEW66076045020818,industrial
NPQZ40288669056008,low income families
DJNJ39568405803546,industrial
YUQP73553481477591,low income families
OPRG06975490466843,industrial
PACU95409044828785,industrial
UBRF43244118898980,industrial
AFZX94165604206691,low income families
DVNY35143645140029,industrial
WZTK81069064792502,industrial
HTJC23555520049211,rural commercial
WJYX39670413648529,rural commercial
EBVU90010372787021,industrial
CLQG78039033709239,rural commercial
MCUA36598386618228,industrial
DKWR40757445081145,rural commercial
KDWM72343625346724,industrial
DZFQ84953412069335,industrial
EYCL28119180396222,industrial
MTTO08254040481312,industrial
WKRP66567640304049,industrial
SLHW75879668705171,rural commercial
VVPT29581996676541,industrial
WXYF21113361348253,industrial
KMJN97150743354414,industrial
GEXI58848523233536,low income families
YZFP40606159866526,industrial
QSNR47638755805515,industrial
BQVI31034264475404,industrial
HXOV80552734877557,industrial
AQOD24312433438779,industrial
OPWS81181980904324,industrial
FOGL66608699450492,rural commercial
KCTG02392451158535,industrial
FQHN32673593042325,industrial
XQWY83246515643622,industrial
USCV77286769892123,rural commercial
APZE11768434875655,rural commercial
IDLV25802308930770,industrial
UAYP46617844930357,industrial
ZWAF82502428931885,industrial
LRAL82633550507688,industrial
YEGF27791701313426,industrial
LIZZ61547489473894,rural commercial
EGYU92010243816407,industrial
OGBF44324779029820,rural commercial
KVAN73479116099584,rural commercial
RCCB11656325152372,rural commercial
HBST63872873388066,industrial
DKNF49408713640838,industrial
KNTA13295301205579,rural commercial
EACA76547460527145,industrial
MHKI28456945098761,industrial
ZYDM28607258499868,low income families
PIRW45880935433031,industrial
PANP21106415508656,industrial
GFFG01798583116046,industrial
SXEG95083431888101,rural commercial
TXMI93311189188143,industrial
ITPJ16307087915606,industrial
DWOL20606574790454,industrial
XFIB74739974071259,rural commercial
KQAF05774103443738,industrial
WFZV77088054772780,industrial
WUWZ84672361717279,rural commercial
YZTN04719365764875,industrial
QZDH51875901969331,industrial
QPAI08658003576169,rural commercial
CSKC19500104342907,industrial
KNFG52989622599905,industrial
ZUEG92816111795774,industrial
FIPV92748687797450,industrial
GISB05062343018672,rural commercial
BTCO02703388351356,industrial
MBFO36071980172730,industrial
SVBP81700542428379,industrial
UBRC28553755404484,rural commercial
BTRA97125362656993,industrial
EOIV29302505876460,rural commercial
YUQP73553481477591,industrial
OMBV09816156691534,industrial
OPRG06975490466843,industrial
RLTR39497644977803,industrial
HXXN62901306541709,rural commercial
OGXA55985744605029,rural commercial
AFZX94165604206691,industrial
JCRG87290777008626,industrial
WZNE32828136255433,rural commercial
DVNY35143645140029,industrial
TDCE13502062396117,rural commercial
FAQP32618498404137,industrial
KCXW91343862250032,rural commercial
FHGT18236683233786,low income families
JAGI00680308242665,industrial
PJJC99484296189857,industrial
KNOB43264859830449,industrial
XNRA02582906985247,industrial
DZFQ84953412069335,industrial
BRMB53233961596348,industrial
NVMA56908319529535,industrial
OEUA01021948001923,industrial
SSAR38458074873537,industrial
KSBL23156232494473,industrial
FCDD43252829144359,industrial
PTGP50399908823421,rural commercial
OUMQ62822031339542,rural commercial
IIHP65319956540409,industrial
BSAZ08013603035624,rural commercial
BFVV03219122082061,rural commercial
TGQX37728861690509,industrial
KACC90728987099547,industrial
ZPYP16337102153664,industrial
NTKM17051501449750,industrial
HIJS53113355827126,low income families
PVLV93441355167120,industrial
JVYI66208715585159,rural commercial
MEEP39447833313343,industrial
OPWS81181980904324,industrial
FOGL66608699450492,rural commercial
QHKK45321815200475,industrial
NGXL37418609394497,industrial
FQHN32673593042325,industrial
XQWY83246515643622,rural commercial
ZDYE89402681967902,rural commercial
CNTT86559279224757,industrial
APZE11768434875655,rural commercial
IDLV25802308930770,industrial
LRAL82633550507688,industrial
FAWW57445459869229,rural commercial
PEUZ84671781592437,rural commercial
SMZK19207927441166,industrial
LIZZ61547489473894,rural commercial
RMQI95915028213378,industrial
ZWIV32294304461444,industrial
EGYU92010243816407,industrial
PBSW73561076867824,rural commercial
KVAN73479116099584,rural commercial
PGGI63053531504200,rural commercial
FZRP63431054534745,industrial
FUKN92112193372842,industrial
PIRW45880935433031,industrial
PANP21106415508656,industrial
GFFG01798583116046,industrial
DWOL20606574790454,industrial
WFZV77088054772780,industrial
NJKG79591092232566,rural commercial
ZLXM66606547279338,low income families
FUJF39175092986945,industrial
CSKC19500104342907,industrial
KNFG52989622599905,industrial
EDOD07461150815386,industrial
ZUEG92816111795774,industrial
WNRI10608342882432,low income families
GISB05062343018672,rural commercial
OMZN91791599460008,industrial
GCYM67310927499430,industrial
NTMT09595415161699,industrial
WWTM07097049580271,industrial
UCOU65888903574985,rural commercial
YCFT83502606152533,industrial
DLEW66076045020818,industrial
NPQZ40288669056008,industrial
TJQR89577141722603,rural commercial
CKNG88737255766732,industrial
VQDL48937598556961,industrial
FAQP32618498404137,industrial
JBNS92820239995139,industrial
WJLY65217605299802,rural commercial
YKDS99372558505702,rural commercial
GJOA45312134108138,industrial
TCES88152522045417,industrial
DZFQ84953412069335,industrial
EYCL28119180396222,rural commercial
DENA59981898513652,low income families
OEUA01021948001923,industrial
CDUH34623988572920,industrial
CUUK70735165026551,industrial
PUZZ07640259685759,rural commercial
WXYF21113361348253,industrial
OUMQ62822031339542,rural commercial
AHRA93701497494813,rural commercial
BSAZ08013603035624,rural commercial
TGQX37728861690509,industrial
EHCJ02706135202063,rural commercial
FCXW59945155849312,industrial
HXOV80552734877557,rural commercial
AQOD24312433438779,low income families
RUOS59290074761880,rural commercial
IRVK20928971168293,rural commercial
JVYI66208715585159,rural commercial
DWZT19944471696987,industrial
COWH94393019622935,rural commercial
MEEP39447833313343,industrial
CCTM69477356226980,rural commercial
IGUG41408649074873,industrial
ULXZ74015705818119,rural commercial
APZE11768434875655,rural commercial
YEGF27791701313426,rural commercial
LIZZ61547489473894,rural commercial
IMBX02784904646581,industrial
WGUY93961702007063,rural commercial
ZPVS84874927247581,rural commercial
ZWIV32294304461444,industrial
OGBF44324779029820,rural commercial
PBSW73561076867824,rural commercial
KVAN73479116099584,rural commercial
EQAD52473277545292,rural commercial
MGYP11861755139081,industrial
NVTG46396654132604,industrial
ZYDM28607258499868,industrial
IMXD19478115201071,industrial
FJTV71988039007976,rural commercial
UJSQ95697899729285,industrial
RGXF59128583066455,industrial
KQAF05774103443738,industrial
WFZV77088054772780,industrial
NLZT35421722867668,rural commercial
NJKG79591092232566,rural commercial
GGSK50409018679457,industrial
IWUI42190103436952,rural commercial
AGZD07213467721118,rural commercial
QPAI08658003576169,rural commercial
CSKC19500104342907,industrial
HVTL73614800406347,low income families
BTCO02703388351356,industrial
UBRC28553755404484,rural commercial
CMEV84555332378977,industrial
PBBL36033403303280,industrial
PDEK32941045104177,industrial
DJNJ39568405803546,rural commercial
VYPR76663854500957,industrial
RLTR39497644977803,industrial
CKNG88737255766732,industrial
MENM22339622143869,industrial
HXXN62901306541709,rural commercial
KEBS66095314696398,industrial
JALK66695433172997,industrial
OTNT80443447218483,rural commercial
IGJX95251988371066,industrial
TDCE13502062396117,rural commercial
JBNS92820239995139,industrial
FCGQ19814303536339,industrial
JDVW57666669484928,industrial
KOVO60968890213540,rural commercial
BRPR02204895745879,industrial
XNRA02582906985247,industrial
ZMUD27592238141769,rural commercial
KDWM72343625346724,industrial
DZFQ84953412069335,industrial
KSBL23156232494473,industrial
FCDD43252829144359,industrial
TNMV48252619601627,rural commercial
CUUK70735165026551,industrial
VVPT29581996676541,rural commercial
AHRA93701497494813,rural commercial
RDDF15224798079356,rural commercial
FCXW59945155849312,industrial
BQVI31034264475404,rural commercial
JVYI66208715585159,rural commercial
CCTM69477356226980,rural commercial
FOGL66608699450492,rural commercial
ULXZ74015705818119,rural commercial
USCV77286769892123,rural commercial
IDLV25802308930770,rural commercial
ZWAF82502428931885,rural commercial
LRAL82633550507688,rural commercial
YEGF27791701313426,rural commercial
FAWW57445459869229,rural commercial
ZJJJ27264470071343,rural commercial
UQKL69927331164131,industrial
VRSG89618646640143,rural commercial
KVAN73479116099584,rural commercial
MUXX08286207117113,rural commercial
RCCB11656325152372,rural commercial
