Consumer_number,Consumer_type
HVTL73614800406347,industrial
GISB05062343018672,domestic
EUEJ04437992005975,industrial
BTCO02703388351356,domestic
CYPV95300994106083,domestic
PBBL36033403303280,domestic
PDEK32941045104177,domestic
OPRG06975490466843,domestic
CEOM94207501913012,domestic
TJQR89577141722603,domestic
VXNE19652261559585,domestic
VVFJ69549881788613,domestic
JBNS92820239995139,domestic
UJXJ03775958628081,domestic
MYWJ48428464556631,domestic
GRXC33020746550125,domestic
DMQW06422804051098,domestic
EQKL85694875580467,industrial
JDVW57666669484928,domestic
CGDO45046562545022,domestic
RTLT54676567718056,domestic
GMAH74894134130515,domestic
FHGT18236683233786,domestic
RAFU09126502665608,domestic
PJJC99484296189857,domestic
CLQG78039033709239,domestic
XNRA02582906985247,domestic
NYRR58688177084605,domestic
KDWM72343625346724,domestic
INJM43003695626381,domestic
TCES88152522045417,domestic
KYIN64721824511108,domestic
PWPE26250921629505,domestic
HDDT94840634914252,domestic
BYYN99780792499601,domestic
KSBL23156232494473,domestic
FCDD43252829144359,domestic
ZKFU57599420843736,domestic
TNMV48252619601627,domestic
FMZB01986300050037,domestic
TFNU84099184624322,domestic
WXYF21113361348253,domestic
AHRA93701497494813,domestic
FMWB30477528904604,domestic
KMJN97150743354414,domestic
ZPYP16337102153664,domestic
HXOV80552734877557,domestic
DWZT19944471696987,domestic
PJBG81551254030092,rural commercial
STQF83788566178063,domestic
CCTM69477356226980,domestic
APIX23025239230384,domestic
BENG66184610421490,domestic
KXHE28709548532082,domestic
CNTT86559279224757,domestic
ZWAF82502428931885,domestic
FAWW57445459869229,domestic
IYPF09448390075115,domestic
RMQI95915028213378,domestic
KHOY77066062304321,domestic
VRSG89618646640143,domestic
OGBF44324779029820,domestic
UQMH00076570081337,domestic
KCWE07038330915205,domestic
NQNC82525044139361,domestic
DKNF49408713640838,domestic
XYES67726049538336,domestic
GBYA69939822152443,domestic
EQAD52473277545292,domestic
MGYP11861755139081,domestic
ZYDM28607258499868,domestic
FUKN92112193372842,domestic
OFSQ89007894885379,domestic
PIRW45880935433031,domestic
GFFG01798583116046,domestic
RGXF59128583066455,domestic
DWOL20606574790454,domestic
NLZT35421722867668,domestic
NJKG79591092232566,domestic
IWUI42190103436952,industrial
NDFS84069941627676,domestic
MPPA13080115709916,domestic
RCZK44567254451440,industrial
DJPH52747873678053,domestic
FCEB55736898860978,domestic
QPAI08658003576169,domestic
CSKC19500104342907,domestic
EDOD07461150815386,domestic
WNRI10608342882432,domestic
NTMT09595415161699,domestic
UCOU65888903574985,domestic
GFAZ16657492819450,domestic
BTRA97125362656993,domestic
DLEW66076045020818,industrial
YUQP73553481477591,domestic
JCCH45150255813989,rural commercial
DVNY35143645140029,domestic
IFNG84495482596644,domestic
FUVK81913549523474,rural commercial
KOCS31815362992210,domestic
FCGQ19814303536339,domestic
EQKL85694875580467,domestic
TRWL67442270835282,domestic
NFMC42616650055728,domestic
JDVW57666669484928,domestic
LHEI47595523159786,domestic
LLIC24181538486678,domestic
HSSV92876412514992,domestic
WJLY65217605299802,industrial
IVXM36178913942788,domestic
GMAH74894134130515,domestic
EBVU90010372787021,domestic
MCUA36598386618228,domestic
DWLO25953900969722,domestic
JYBT89780750132404,domestic
ZMUD27592238141769,domestic
QVSK49209769731009,domestic
NYCR15027250729265,domestic
CEZM82527801889609,domestic
DZFQ84953412069335,domestic
NVMA56908319529535,domestic
TZUJ69246246430307,domestic
EYCL28119180396222,domestic
MTTO08254040481312,domestic
OEUA01021948001923,domestic
GGQC71175062678571,domestic
FCDD43252829144359,domestic
PTGP50399908823421,domestic
MIDT99995692797081,domestic
JEDB74748652800427,domestic
FMZB01986300050037,domestic
PUZZ07640259685759,domestic
UWKE06377259555130,domestic
TFNU84099184624322,domestic
AHRA93701497494813,domestic
RDDF15224798079356,domestic
TGQX37728861690509,domestic
ZPYP16337102153664,domestic
EHCJ02706135202063,domestic
LDVG07028476247747,domestic
QSNR47638755805515,domestic
HXOV80552734877557,domestic
COWH94393019622935,domestic
PJBG81551254030092,rural commercial
XYNW70803382753712,domestic
OPWS81181980904324,domestic
APIX23025239230384,domestic
NGXL37418609394497,domestic
XQWY83246515643622,domestic
BENG66184610421490,domestic
USCV77286769892123,domestic
KXHE28709548532082,domestic
ZDYE89402681967902,domestic
NNKF92704765416624,domestic
IDLV25802308930770,domestic
ZWAF82502428931885,domestic
FAWW57445459869229,domestic
SAWJ78394099744354,domestic
IYPF09448390075115,domestic
WGUY93961702007063,domestic
JDFB91441873190771,domestic
SNGS60110784798477,domestic
OGBF44324779029820,domestic
AZQH24086160367709,domestic
MUXX08286207117113,domestic
YCEP63387357649644,domestic
HBST63872873388066,domestic
KNTA13295301205579,domestic
JFUO85980686170984,domestic
FZRP63431054534745,industrial
IMXD19478115201071,domestic
FUKN92112193372842,domestic
AZBY61891155526602,domestic
DWOL20606574790454,domestic
NJKG79591092232566,domestic
WUWZ84672361717279,domestic
GGSK50409018679457,domestic
AQLT91571953050328,industrial
NDFS84069941627676,domestic
KPOA19937532089126,domestic
QPAI08658003576169,domestic
RKNI13745194374747,domestic
EDOD07461150815386,domestic
WNRI10608342882432,domestic
GISB05062343018672,domestic
CYPV95300994106083,domestic
WWTM07097049580271,industrial
PACU95409044828785,industrial
OTJM06567794973233,domestic
DKCY25913019460431,industrial
OYCU95964607071111,domestic
KOCS31815362992210,domestic
EQKL85694875580467,domestic
JDVW57666669484928,domestic
TQSE59784502052490,domestic
CGDO45046562545022,domestic
EBVU90010372787021,domestic
GFUL02502122553375,domestic
FFAR48543703647689,domestic
RAFU09126502665608,industrial
HLOE34772420661917,domestic
DKWR40757445081145,domestic
FUMF28996023865905,domestic
KNOB43264859830449,domestic
NYCR15027250729265,domestic
JTES98822694645015,domestic
DZFQ84953412069335,domestic
TZUJ69246246430307,domestic
DCOX56894168490254,domestic
MTTO08254040481312,domestic
SSAR38458074873537,domestic
HNRD13603113885779,domestic
CDUH34623988572920,domestic
MIDT99995692797081,domestic
JEDB74748652800427,domestic
WKRP66567640304049,domestic
YTBO45517390556943,domestic
VVPT29581996676541,domestic
OUMQ62822031339542,domestic
BSAZ08013603035624,domestic
FMWB30477528904604,domestic
LYCM06827373499892,industrial
KACC90728987099547,domestic
EHCJ02706135202063,domestic
USOI01636292173412,domestic
HIJS53113355827126,domestic
COWH94393019622935,domestic
XYNW70803382753712,domestic
MEEP39447833313343,domestic
STQF83788566178063,domestic
QHKK45321815200475,domestic
ULXZ74015705818119,domestic
APIX23025239230384,domestic
QFIZ88606191712684,domestic
LRAL82633550507688,domestic
LIZZ61547489473894,domestic
OYQY07256210497300,domestic
ZKPG43880444227846,domestic
ZPVS84874927247581,domestic
KHOY77066062304321,industrial
MHGK34685058134666,domestic
PBSW73561076867824,domestic
AZQH24086160367709,domestic
FZRQ12179825466791,domestic
MUXX08286207117113,domestic
UQMH00076570081337,domestic
NQNC82525044139361,domestic
KNTA13295301205579,domestic
MGYP11861755139081,domestic
MHKI28456945098761,domestic
RRTB85583422636622,domestic
PIRW45880935433031,domestic
AZBY61891155526602,domestic
GFFG01798583116046,domestic
TXMI93311189188143,domestic
CIRK82309217383949,domestic
KQAF05774103443738,domestic
WFZV77088054772780,domestic
NLZT35421722867668,domestic
GGSK50409018679457,industrial
AQLT91571953050328,industrial
KPOA19937532089126,domestic
AGZD07213467721118,domestic
YZTN04719365764875,domestic
MFKS41426194554322,domestic
WCHP01465080695384,rural commercial
FCEB55736898860978,domestic
FUJF39175092986945,domestic
WNRI10608342882432,domestic
CYPV95300994106083,domestic
SVBP81700542428379,domestic
YCFT83502606152533,domestic
UBRC28553755404484,domestic
PBBL36033403303280,domestic
DJNJ39568405803546,domestic
PACU95409044828785,industrial
VYPR76663854500957,domestic
EKZL76248245621208,domestic
CKNG88737255766732,domestic
XWCO75279794098600,domestic
JCRG87290777008626,domestic
KLFR15936867327446,domestic
IGJX95251988371066,domestic
ZMWX47693515501077,domestic
VVFJ69549881788613,domestic
UJXJ03775958628081,domestic
CGDO45046562545022,domestic
FHGT18236683233786,domestic
JAGI00680308242665,domestic
FUMF28996023865905,domestic
DWLO25953900969722,domestic
KNOB43264859830449,domestic
JYBT89780750132404,domestic
DNUT84611745346865,domestic
NZQF59857433519644,domestic
INJM43003695626381,domestic
NYCR15027250729265,domestic
CEZM82527801889609,domestic
TCES88152522045417,domestic
VOII48117914432340,domestic
NVMA56908319529535,domestic
DENA59981898513652,industrial
MTTO08254040481312,domestic
BYYN99780792499601,domestic
SSAR38458074873537,domestic
GGQC71175062678571,domestic
KSBL23156232494473,domestic
MIDT99995692797081,domestic
TNMV48252619601627,domestic
SLHW75879668705171,domestic
OUMQ62822031339542,domestic
EHCJ02706135202063,domestic
NBQN43033153874355,domestic
USOI01636292173412,domestic
HIJS53113355827126,domestic
ENRN35247370059665,domestic
JVYI66208715585159,domestic
FQTP76220352089542,domestic
DWZT19944471696987,domestic
COWH94393019622935,domestic
STQF83788566178063,domestic
FOGL66608699450492,domestic
IGUG41408649074873,industrial
KCTG02392451158535,industrial
NGXL37418609394497,domestic
FQHN32673593042325,domestic
BENG66184610421490,domestic
USCV77286769892123,domestic
ZDYE89402681967902,domestic
QFIZ88606191712684,domestic
UAYP46617844930357,domestic
LRAL82633550507688,domestic
FAWW57445459869229,domestic
PEUZ84671781592437,domestic
IMBX02784904646581,domestic
OYQY07256210497300,domestic
JDFB91441873190771,domestic
RMQI95915028213378,domestic
ZKPG43880444227846,domestic
NHFT84916099108261,domestic
ZWIV32294304461444,domestic
XONB18166453573712,domestic
FEWR46402099505959,domestic
MUXX08286207117113,domestic
YCEP63387357649644,domestic
KNTA13295301205579,domestic
XYES67726049538336,domestic
GBYA69939822152443,domestic
FZRP63431054534745,industrial
FUKN92112193372842,domestic
UJSQ95697899729285,domestic
WTMD49674567154197,domestic
LYHK83880786555886,domestic
PANP21106415508656,domestic
AZBY61891155526602,domestic
KQAF05774103443738,domestic
WFZV77088054772780,domestic
ZXWX55942012223566,domestic
GGSK50409018679457,industrial
IWUI42190103436952,industrial
AQLT91571953050328,industrial
NDFS84069941627676,domestic
YZTN04719365764875,domestic
QZDH51875901969331,domestic
RCZK44567254451440,industrial
EGKE92863689085838,domestic
FUJF39175092986945,domestic
CSKC19500104342907,domestic
FIPV92748687797450,domestic
GISB05062343018672,domestic
BTCO02703388351356,domestic
CYPV95300994106083,domestic
GCYM67310927499430,domestic
UCOU65888903574985,domestic
YCFT83502606152533,domestic
RLTR39497644977803,domestic
MUYB17619317125820,domestic
EKZL76248245621208,domestic
DVSG92636816250682,domestic
WZTK81069064792502,domestic
DMQW06422804051098,domestic
TRWL67442270835282,domestic
KOVO60968890213540,domestic
WJYX39670413648529,domestic
FAGM51511678501495,domestic
ARVA35627514832759,domestic
TQSE59784502052490,domestic
CGDO45046562545022,domestic
GFUL02502122553375,domestic
FHGT18236683233786,domestic
HLOE34772420661917,domestic
CLQG78039033709239,domestic
JUGV58574305141320,domestic
DNUT84611745346865,domestic
LDWP74408638280459,domestic
HNIX48279553082095,domestic
BRMB53233961596348,domestic
NTFW74717315660097,domestic
DCOX56894168490254,domestic
MTTO08254040481312,domestic
BYYN99780792499601,domestic
OEUA01021948001923,domestic
RZON01584888357610,rural commercial
MIDT99995692797081,domestic
WKRP66567640304049,domestic
CUUK70735165026551,domestic
AHRA93701497494813,domestic
FMWB30477528904604,domestic
LYCM06827373499892,industrial
TGQX37728861690509,domestic
KMJN97150743354414,domestic
MGUE22291420733853,domestic
GEXI58848523233536,domestic
HTNO96068335818471,domestic
NBQN43033153874355,domestic
YQPA52153664600964,domestic
RLHM91458526100860,domestic
ENRN35247370059665,domestic
STQF83788566178063,domestic
IGUG41408649074873,industrial
BENG66184610421490,domestic
QFIZ88606191712684,domestic
BTIF48335088055772,domestic
YEGF27791701313426,domestic
LIZZ61547489473894,domestic
ZJJJ27264470071343,domestic
IMBX02784904646581,domestic
WGUY93961702007063,domestic
ZKPG43880444227846,domestic
ZWIV32294304461444,domestic
SNGS60110784798477,domestic
FEWR46402099505959,domestic
FZRQ12179825466791,domestic
MUXX08286207117113,domestic
RCCB11656325152372,rural commercial
MGYP11861755139081,domestic
JFUO85980686170984,domestic
ZYDM28607258499868,domestic
RRTB85583422636622,domestic
OFSQ89007894885379,domestic
PIRW45880935433031,domestic
NLZT35421722867668,domestic
NJKG79591092232566,domestic
IWUI42190103436952,industrial
UPUN42310315523780,domestic
KPOA19937532089126,domestic
NREQ80614709086421,domestic
YZTN04719365764875,domestic
MPPA13080115709916,domestic
WCHP01465080695384,rural commercial
KNFG52989622599905,domestic
RKNI13745194374747,domestic
WNRI10608342882432,domestic
FIPV92748687797450,domestic
GISB05062343018672,domestic
EUEJ04437992005975,industrial
BTCO02703388351356,domestic
CYPV95300994106083,domestic
GCYM67310927499430,domestic
SVBP81700542428379,domestic
UBRC28553755404484,domestic
GFAZ16657492819450,domestic
BTRA97125362656993,domestic
MUYB17619317125820,domestic
UBRF43244118898980,domestic
XWCO75279794098600,domestic
DVNY35143645140029,domestic
LCFD28318669747029,domestic
VVFJ69549881788613,domestic
KOCS31815362992210,domestic
JDVW57666669484928,domestic
BRPR02204895745879,domestic
GMAH74894134130515,domestic
RAFU09126502665608,domestic
HLOE34772420661917,domestic
PJJC99484296189857,domestic
LDWP74408638280459,domestic
CEZM82527801889609,domestic
JTES98822694645015,domestic
VOII48117914432340,domestic
LTYA70001390203463,domestic
EYCL28119180396222,domestic
PWPE26250921629505,domestic
NTFW74717315660097,domestic
HDDT94840634914252,domestic
BYYN99780792499601,domestic
OEUA01021948001923,domestic
SSAR38458074873537,domestic
RZON01584888357610,rural commercial
GGQC71175062678571,industrial
KSBL23156232494473,domestic
ZKFU57599420843736,domestic
WKRP66567640304049,domestic
TFNU84099184624322,domestic
WXYF21113361348253,domestic
AHRA93701497494813,domestic
IIHP65319956540409,domestic
LYCM06827373499892,industrial
GEXI58848523233536,domestic
FCXW59945155849312,domestic
HXOV80552734877557,domestic
OPWS81181980904324,domestic
XDGD41878813463905,domestic
ULXZ74015705818119,domestic
FQHN32673593042325,domestic
USCV77286769892123,domestic
KXHE28709548532082,domestic
QFIZ88606191712684,domestic
RXJI03863392220467,domestic
NNKF92704765416624,domestic
JLRE91885534376166,domestic
SMZK19207927441166,domestic
IYPF09448390075115,domestic
WGUY93961702007063,domestic
RMQI95915028213378,domestic
ZKPG43880444227846,domestic
ZPVS84874927247581,domestic
ZWIV32294304461444,domestic
XONB18166453573712,domestic
HCQI97456176258567,domestic
FZRQ12179825466791,domestic
MUXX08286207117113,domestic
KCWE07038330915205,domestic
MGYP11861755139081,domestic
IMXD19478115201071,domestic
KIVC82184180643031,domestic
WTMD49674567154197,domestic
LYHK83880786555886,domestic
GFFG01798583116046,domestic
GUOJ42653699971382,domestic
SXEG95083431888101,domestic
UPQB00785123626543,domestic
CIRK82309217383949,domestic
NLZT35421722867668,domestic
WUWZ84672361717279,domestic
ZXWX55942012223566,domestic
IWUI42190103436952,industrial
NDFS84069941627676,domestic
UPUN42310315523780,domestic
NREQ80614709086421,domestic
QZDH51875901969331,domestic
EGKE92863689085838,domestic
CSKC19500104342907,domestic
KNFG52989622599905,domestic
RKNI13745194374747,domestic
FIPV92748687797450,domestic
HVTL73614800406347,industrial
GCYM67310927499430,domestic
MBFO36071980172730,industrial
SVBP81700542428379,domestic
BTRA97125362656993,domestic
PBBL36033403303280,domestic
NPQZ40288669056008,domestic
EOIV29302505876460,domestic
OPRG06975490466843,domestic
VXNE19652261559585,domestic
OGXA55985744605029,domestic
OTNT80443447218483,domestic
WSAQ40927607120203,domestic
UJXJ03775958628081,domestic
WJLY65217605299802,industrial
GFUL02502122553375,domestic
CLQG78039033709239,domestic
TRPQ38369235029294,domestic
XNRA02582906985247,industrial
NYCR15027250729265,domestic
LTYA70001390203463,domestic
PWPE26250921629505,domestic
ZPAS26919496825129,domestic
KYSR66911947285303,domestic
SSAR38458074873537,domestic
MIDT99995692797081,domestic
CUUK70735165026551,domestic
WUIW00818202817837,domestic
AHRA93701497494813,domestic
BSAZ08013603035624,domestic
FMWB30477528904604,domestic
KACC90728987099547,domestic
ZPYP16337102153664,domestic
GEXI58848523233536,domestic
NTKM17051501449750,industrial
YQPA52153664600964,domestic
RLHM91458526100860,domestic
HIJS53113355827126,domestic
JVYI66208715585159,domestic
STQF83788566178063,domestic
OPWS81181980904324,domestic
IGUG41408649074873,industrial
QHKK45321815200475,domestic
USCV77286769892123,domestic
CNTT86559279224757,domestic
LRAL82633550507688,domestic
FAWW57445459869229,domestic
PEUZ84671781592437,domestic
IMBX02784904646581,domestic
NHFT84916099108261,domestic
VRSG89618646640143,domestic
PBSW73561076867824,domestic
DKNF49408713640838,domestic
EACA76547460527145,domestic
UJSQ95697899729285,domestic
OFSQ89007894885379,domestic
LYHK83880786555886,domestic
AZBY61891155526602,domestic
GFFG01798583116046,domestic
RGXF59128583066455,domestic
ITPJ16307087915606,domestic
KQAF05774103443738,domestic
WFZV77088054772780,domestic
KPOA19937532089126,domestic
YZTN04719365764875,domestic
RCZK44567254451440,industrial
EGKE92863689085838,domestic
WCHP01465080695384,rural commercial
FUJF39175092986945,domestic
QPAI08658003576169,domestic
FIPV92748687797450,domestic
GISB05062343018672,domestic
BTRA97125362656993,domestic
PBBL36033403303280,domestic
DLEW66076045020818,industrial
NPQZ40288669056008,domestic
DJNJ39568405803546,domestic
YUQP73553481477591,domestic
OPRG06975490466843,domestic
PACU95409044828785,industrial
UBRF43244118898980,domestic
AFZX94165604206691,domestic
DVNY35143645140029,domestic
WZTK81069064792502,domestic
HTJC23555520049211,domestic
WJYX39670413648529,domestic
EBVU90010372787021,domestic
CLQG78039033709239,domestic
MCUA36598386618228,domestic
DKWR40757445081145,domestic
KDWM72343625346724,rural commercial
DZFQ84953412069335,domestic
EYCL28119180396222,domestic
MTTO08254040481312,domestic
WKRP66567640304049,domestic
SLHW75879668705171,domestic
VVPT29581996676541,domestic
WXYF21113361348253,domestic
KMJN97150743354414,domestic
GEXI58848523233536,domestic
YZFP40606159866526,domestic
QSNR47638755805515,domestic
BQVI31034264475404,industrial
HXOV80552734877557,domestic
AQOD24312433438779,domestic
OPWS81181980904324,domestic
FOGL66608699450492,domestic
KCTG02392451158535,industrial
FQHN32673593042325,domestic
XQWY83246515643622,domestic
USCV77286769892123,domestic
APZE11768434875655,domestic
IDLV25802308930770,domestic
UAYP46617844930357,domestic
ZWAF82502428931885,domestic
LRAL82633550507688,domestic
YEGF27791701313426,domestic
LIZZ61547489473894,domestic
EGYU92010243816407,domestic
OGBF44324779029820,domestic
KVAN73479116099584,domestic
RCCB11656325152372,rural commercial
HBST63872873388066,domestic
DKNF49408713640838,domestic
KNTA13295301205579,domestic
EACA76547460527145,domestic
MHKI28456945098761,domestic
ZYDM28607258499868,domestic
PIRW45880935433031,domestic
PANP21106415508656,domestic
GFFG01798583116046,domestic
SXEG95083431888101,domestic
TXMI93311189188143,domestic
ITPJ16307087915606,domestic
DWOL20606574790454,domestic
XFIB74739974071259,domestic
KQAF05774103443738,domestic
WFZV77088054772780,domestic
WUWZ84672361717279,domestic
YZTN04719365764875,domestic
QZDH51875901969331,domestic
QPAI08658003576169,domestic
CSKC19500104342907,domestic
KNFG52989622599905,domestic
ZUEG92816111795774,domestic
FIPV92748687797450,domestic
GISB05062343018672,domestic
BTCO02703388351356,domestic
MBFO36071980172730,domestic
SVBP81700542428379,domestic
UBRC28553755404484,domestic
BTRA97125362656993,domestic
EOIV29302505876460,domestic
YUQP73553481477591,domestic
OMBV09816156691534,domestic
OPRG06975490466843,domestic
RLTR39497644977803,domestic
HXXN62901306541709,domestic
OGXA55985744605029,domestic
AFZX94165604206691,domestic
JCRG87290777008626,domestic
WZNE32828136255433,domestic
DVNY35143645140029,domestic
TDCE13502062396117,domestic
FAQP32618498404137,domestic
KCXW91343862250032,domestic
FHGT18236683233786,domestic
JAGI00680308242665,domestic
PJJC99484296189857,domestic
KNOB43264859830449,industrial
XNRA02582906985247,industrial
DZFQ84953412069335,domestic
BRMB53233961596348,domestic
NVMA56908319529535,domestic
OEUA01021948001923,domestic
SSAR38458074873537,domestic
KSBL23156232494473,domestic
FCDD43252829144359,domestic
PTGP50399908823421,domestic
OUMQ62822031339542,domestic
IIHP65319956540409,domestic
BSAZ08013603035624,domestic
BFVV03219122082061,domestic
TGQX37728861690509,domestic
KACC90728987099547,domestic
ZPYP16337102153664,domestic
NTKM17051501449750,industrial
HIJS53113355827126,domestic
PVLV93441355167120,domestic
JVYI66208715585159,domestic
MEEP39447833313343,domestic
OPWS81181980904324,domestic
FOGL66608699450492,domestic
QHKK45321815200475,domestic
NGXL37418609394497,domestic
FQHN32673593042325,domestic
XQWY83246515643622,domestic
ZDYE89402681967902,domestic
CNTT86559279224757,domestic
APZE11768434875655,domestic
IDLV25802308930770,domestic
LRAL82633550507688,domestic
FAWW57445459869229,domestic
PEUZ84671781592437,domestic
SMZK19207927441166,domestic
LIZZ61547489473894,domestic
RMQI95915028213378,domestic
ZWIV32294304461444,domestic
EGYU92010243816407,domestic
PBSW73561076867824,domestic
KVAN73479116099584,domestic
PGGI63053531504200,domestic
FZRP63431054534745,industrial
FUKN92112193372842,domestic
PIRW45880935433031,domestic
PANP21106415508656,domestic
GFFG01798583116046,domestic
DWOL20606574790454,domestic
WFZV77088054772780,domestic
NJKG79591092232566,domestic
ZLXM66606547279338,domestic
FUJF39175092986945,domestic
CSKC19500104342907,domestic
KNFG52989622599905,domestic
EDOD07461150815386,domestic
ZUEG92816111795774,domestic
WNRI10608342882432,domestic
GISB05062343018672,domestic
OMZN91791599460008,domestic
GCYM67310927499430,domestic
NTMT09595415161699,domestic
WWTM07097049580271,industrial
UCOU65888903574985,domestic
YCFT83502606152533,domestic
DLEW66076045020818,industrial
NPQZ40288669056008,domestic
TJQR89577141722603,domestic
CKNG88737255766732,domestic
VQDL48937598556961,domestic
FAQP32618498404137,domestic
JBNS92820239995139,domestic
WJLY65217605299802,industrial
YKDS99372558505702,industrial
GJOA45312134108138,domestic
TCES88152522045417,domestic
DZFQ84953412069335,domestic
EYCL28119180396222,domestic
DENA59981898513652,industrial
OEUA01021948001923,domestic
CDUH34623988572920,domestic
CUUK70735165026551,domestic
PUZZ07640259685759,domestic
WXYF21113361348253,domestic
OUMQ62822031339542,domestic
AHRA93701497494813,domestic
BSAZ08013603035624,domestic
TGQX37728861690509,domestic
EHCJ02706135202063,domestic
FCXW59945155849312,domestic
HXOV80552734877557,domestic
AQOD24312433438779,domestic
RUOS59290074761880,domestic
IRVK20928971168293,domestic
JVYI66208715585159,domestic
DWZT19944471696987,domestic
COWH94393019622935,domestic
MEEP39447833313343,domestic
CCTM69477356226980,domestic
IGUG41408649074873,industrial
ULXZ74015705818119,domestic
APZE11768434875655,domestic
YEGF27791701313426,domestic
LIZZ61547489473894,domestic
IMBX02784904646581,domestic
WGUY93961702007063,domestic
ZPVS84874927247581,domestic
ZWIV32294304461444,domestic
OGBF44324779029820,domestic
PBSW73561076867824,domestic
KVAN73479116099584,domestic
EQAD52473277545292,domestic
MGYP11861755139081,domestic
NVTG46396654132604,domestic
ZYDM28607258499868,domestic
IMXD19478115201071,domestic
FJTV71988039007976,industrial
UJSQ95697899729285,domestic
RGXF59128583066455,domestic
KQAF05774103443738,domestic
WFZV77088054772780,domestic
NLZT35421722867668,domestic
NJKG79591092232566,domestic
GGSK50409018679457,industrial
IWUI42190103436952,industrial
AGZD07213467721118,domestic
QPAI08658003576169,domestic
CSKC19500104342907,domestic
HVTL73614800406347,industrial
BTCO02703388351356,domestic
UBRC28553755404484,domestic
CMEV84555332378977,domestic
PBBL36033403303280,domestic
PDEK32941045104177,domestic
DJNJ39568405803546,domestic
VYPR76663854500957,domestic
RLTR39497644977803,domestic
CKNG88737255766732,domestic
MENM22339622143869,domestic
HXXN62901306541709,domestic
KEBS66095314696398,domestic
JALK66695433172997,domestic
OTNT80443447218483,domestic
IGJX95251988371066,domestic
TDCE13502062396117,domestic
JBNS92820239995139,domestic
FCGQ19814303536339,domestic
JDVW57666669484928,domestic
KOVO60968890213540,domestic
BRPR02204895745879,domestic
XNRA02582906985247,domestic
ZMUD27592238141769,domestic
KDWM72343625346724,rural commercial
DZFQ84953412069335,domestic
KSBL23156232494473,domestic
FCDD43252829144359,domestic
TNMV48252619601627,domestic
CUUK70735165026551,domestic
VVPT29581996676541,domestic
AHRA93701497494813,domestic
RDDF15224798079356,domestic
FCXW59945155849312,domestic
BQVI31034264475404,domestic
JVYI66208715585159,domestic
CCTM69477356226980,domestic
FOGL66608699450492,domestic
ULXZ74015705818119,domestic
USCV77286769892123,domestic
IDLV25802308930770,domestic
ZWAF82502428931885,domestic
LRAL82633550507688,domestic
YEGF27791701313426,domestic
FAWW57445459869229,domestic
ZJJJ27264470071343,domestic
UQKL69927331164131,domestic
VRSG89618646640143,domestic
KVAN73479116099584,domestic
MUXX08286207117113,domestic
RCCB11656325152372,rural commercial
UQMH00076570081337,domestic
DSUK17557376745378,domestic
KCWE07038330915205,domestic
DKNF49408713640838,domestic
XYES67726049538336,domestic
EQAD52473277545292,domestic
MHKI28456945098761,domestic
KIVC82184180643031,domestic
LYHK83880786555886,domestic
TIAI49210553571077,domestic
RGXF59128583066455,domestic
ITPJ16307087915606,domestic
